Date,prec,tmin,tmean,tmax,qt
1981-01-01,0.0,10.166,16.791,23.416,0.68
1981-01-02,0.0,7.589,14.454,21.319,0.65
1981-01-03,0.0,9.288,15.633,21.977,0.64
1981-01-04,0.0,10.726,16.661,22.597,0.63
1981-01-05,0.0,12.931,18.163,23.396,0.58
1981-01-06,12.311,14.635,18.684,22.733,0.51
1981-01-07,0.0,14.044,18.183,22.323,0.51
1981-01-08,6.155,13.349,18.532,23.715,0.6
1981-01-09,0.0,13.792,16.917,20.042,0.52
1981-01-10,0.0,11.698,12.99,14.281,0.59
1981-01-11,0.0,10.297,11.653,13.008,0.53
1981-01-12,0.0,9.818,11.056,12.294,0.6
1981-01-13,0.0,9.288,12.511,15.734,0.57
1981-01-14,0.0,11.168,15.637,20.105,0.52
1981-01-15,0.0,11.497,14.898,18.299,0.46
1981-01-16,0.0,12.048,14.423,16.798,0.4
1981-01-17,0.0,6.567,9.384,12.201,0.48
1981-01-18,0.0,3.796,5.092,6.389,0.53
1981-01-19,0.0,3.832,6.699,9.567,0.55
1981-01-20,0.0,4.199,11.605,19.01,0.59
1981-01-21,1.449,10.234,13.285,16.335,0.52
1981-01-22,8.153,7.196,10.19,13.184,0.64
1981-01-23,0.0,4.946,12.101,19.257,0.78
1981-01-24,0.0,5.546,14.29,23.034,0.75
1981-01-25,0.0,9.84,16.502,23.164,0.74
1981-01-26,0.0,12.391,17.267,22.142,0.69
1981-01-27,0.0,14.985,18.887,22.789,0.66
1981-01-28,0.0,12.664,19.415,26.167,0.63
1981-01-29,0.0,14.214,19.915,25.616,0.64
1981-01-30,0.0,13.203,19.065,24.927,0.64
1981-01-31,0.0,16.902,21.206,25.51,0.6
1981-02-01,8.601,14.988,19.207,23.426,0.61
1981-02-02,0.0,8.344,13.479,18.615,0.69
1981-02-03,0.0,11.315,13.574,15.833,0.68
1981-02-04,0.0,11.925,16.552,21.18,0.59
1981-02-05,0.0,14.259,18.661,23.063,0.36
1981-02-06,0.0,11.502,16.283,21.064,0.34
1981-02-07,0.0,13.001,18.316,23.632,0.29
1981-02-08,0.0,14.811,20.372,25.932,0.28
1981-02-09,0.0,15.736,21.02,26.305,0.21
1981-02-10,0.0,16.718,24.722,32.727,0.15
1981-02-11,0.0,5.617,16.948,28.278,0.13
1981-02-12,0.0,3.507,10.266,17.024,0.12
1981-02-13,0.0,9.617,12.875,16.132,0.12
1981-02-14,0.0,8.807,11.375,13.942,0.1
1981-02-15,0.0,9.771,14.821,19.87,0.09
1981-02-16,0.0,12.28,17.415,22.55,0.08
1981-02-17,0.0,15.884,19.192,22.5,0.07
1981-02-18,0.0,16.22,21.177,26.134,0.05
